accuracy,loss,val_accuracy,val_loss
0.4829166531562805,1.430235743522644,0.6668750047683716,0.8450959920883179
0.6081249713897705,0.996707022190094,0.6943749785423279,0.7700886726379395
0.6620833277702332,0.861389696598053,0.7074999809265137,0.7693561315536499
0.68729168176651,0.813890278339386,0.7068750262260437,0.7512186169624329
0.6970833539962769,0.7682740688323975,0.6949999928474426,0.772045910358429
0.7116666436195374,0.7511904835700989,0.715624988079071,0.7159426808357239
0.7206249833106995,0.713091254234314,0.7074999809265137,0.7506823539733887
0.7245833277702332,0.71031254529953,0.7443749904632568,0.6610738635063171
0.737500011920929,0.6830353140830994,0.7318750023841858,0.7226695418357849
0.7412499785423279,0.6856629252433777,0.7443749904632568,0.7059915661811829
0.7460416555404663,0.6565764546394348,0.7287499904632568,0.7017147541046143
0.75020831823349,0.6510874032974243,0.7287499904632568,0.7124077677726746
0.74979168176651,0.6405509114265442,0.7337499856948853,0.7229166626930237
0.7599999904632568,0.6302772760391235,0.7524999976158142,0.670788586139679
0.7643749713897705,0.6166818737983704,0.7381250262260437,0.6693384647369385
0.7583333253860474,0.6291727423667908,0.7643749713897705,0.648728609085083
0.7643749713897705,0.6127067804336548,0.7206249833106995,0.7316474914550781
0.7702083587646484,0.5962730646133423,0.7587500214576721,0.6485589742660522
0.7645833492279053,0.6172734498977661,0.703125,0.7679290175437927
0.7785416841506958,0.5804079174995422,0.7350000143051147,0.7070553302764893
0.7737500071525574,0.586219072341919,0.7406250238418579,0.6687595248222351
0.7739583253860474,0.5832000970840454,0.75,0.671901524066925
0.7789583206176758,0.5799058675765991,0.746874988079071,0.6715343594551086
0.7768750190734863,0.5937118530273438,0.75,0.6724259257316589
0.7847916483879089,0.5733300447463989,0.765625,0.6233561635017395
0.7827083468437195,0.5660356283187866,0.7325000166893005,0.7263527512550354
0.7818750143051147,0.5693376660346985,0.7462499737739563,0.6647142767906189
0.7777083516120911,0.5636208057403564,0.7524999976158142,0.6396889686584473
0.793749988079071,0.5526804327964783,0.7574999928474426,0.6447528004646301
0.7897916436195374,0.5489858984947205,0.7293750047683716,0.7176050543785095
0.7875000238418579,0.5474575161933899,0.7443749904632568,0.6855015754699707
0.796875,0.5359124541282654,0.7206249833106995,0.7192066311836243
0.7900000214576721,0.5422846674919128,0.7412499785423279,0.6711376309394836
0.7989583611488342,0.5337957143783569,0.7543749809265137,0.6598461270332336
0.799791693687439,0.5237745642662048,0.7599999904632568,0.6231964230537415
0.7958333492279053,0.5352430939674377,0.7275000214576721,0.6927149295806885
0.7981250286102295,0.5272831320762634,0.7649999856948853,0.6407700181007385
0.7931249737739563,0.5367122888565063,0.7706249952316284,0.6126663684844971
0.8039583563804626,0.5209211707115173,0.7737500071525574,0.5978556275367737
0.8027083277702332,0.5182667970657349,0.7350000143051147,0.7138259410858154
0.8027083277702332,0.5195338726043701,0.7699999809265137,0.6372736096382141
0.8045833110809326,0.512430727481842,0.7456250190734863,0.6846728324890137
0.8125,0.49834153056144714,0.7574999928474426,0.6555870175361633
0.8060416579246521,0.50516676902771,0.7693750262260437,0.6228551268577576
0.8068749904632568,0.5067636370658875,0.746874988079071,0.7076703906059265
0.8035416603088379,0.5075104236602783,0.7431250214576721,0.6701569557189941
0.809166669845581,0.5040644407272339,0.7568749785423279,0.6373254060745239
0.809374988079071,0.49349910020828247,0.7350000143051147,0.6974719762802124
0.8083333373069763,0.49902400374412537,0.768750011920929,0.6331452131271362
0.8162500262260437,0.47294291853904724,0.7599999904632568,0.6611417531967163
